Date,Area,District,Volume_inb_ball,Score_inb_ball,Score_p_1_inb_ball,Score_p_2_inb_ball,Score_p_3_inb_ball,type
2020-10-27,Eastern,Western Pennsylvania,43583,97.25,99.58,99.67,99.89,inbound
2020-10-27,Great Lakes,Central Illinois,18769,85.02,93.71,96.76,99.23,inbound
2020-10-27,Great Lakes,Chicago,15529,90.04,92.99,93.41,93.59,inbound
2020-10-27,Great Lakes,Detroit,4987,48.63,93.48,97.33,98.03,inbound
2020-10-27,Great Lakes,Gateway,2595,80,95.22,96.69,97.38,inbound
2020-10-27,Great Lakes,Greater Indiana,903,40.64,91.03,94.8,98.34,inbound
2020-10-27,Great Lakes,Greater Michigan,3785,55.01,96.46,97.99,98.65,inbound
2020-10-27,Great Lakes,Lakeland,729,52.54,79.97,83.13,85.46,inbound
2020-10-27,Northeast,Albany,3825,82.33,97.8,98.25,98.51,inbound
2020-10-27,Northeast,Caribbean,10197,99.57,99.87,99.93,99.97,inbound
2020-10-27,Northeast,Connecticut Valley,2061,75.25,94.03,95.88,96.51,inbound
2020-10-27,Northeast,Greater Boston,24869,93.7,99.28,99.55,99.63,inbound
2020-10-27,Northeast,Long Island,14681,97.16,98.53,98.67,98.73,inbound
2020-10-27,Northeast,New York,25905,94.94,98.89,99.24,99.34,inbound
2020-10-27,Northeast,Northern New England,525,54.29,91.81,95.05,97.33,inbound
2020-10-27,Northeast,Northern New Jersey,45985,97.51,99.37,99.42,99.49,inbound
2020-10-27,Northeast,Triboro,14824,95.52,96.51,96.63,96.64,inbound
2020-10-27,Northeast,Westchester,2090,70.43,93.64,94.26,94.31,inbound
2020-10-27,Pacific,Bay-Valley,102048,99.08,99.6,99.64,99.64,inbound
2020-10-27,Pacific,Honolulu,29231,96.43,99.67,99.79,99.84,inbound
2020-10-27,Pacific,Los Angeles,83720,99.22,99.61,99.67,99.7,inbound
2020-10-27,Pacific,Sacramento,84978,97.93,98.92,98.94,98.98,inbound
2020-10-27,Pacific,San Diego,156005,99.13,99.82,99.9,99.92,inbound
2020-10-27,Pacific,San Francisco,68141,99.33,99.72,99.77,99.79,inbound
2020-10-27,Pacific,Santa Ana,65500,99.14,99.7,99.75,99.76,inbound
2020-10-27,Pacific,Sierra Coastal,54310,98.72,99.43,99.46,99.49,inbound
2020-10-27,Southern,Alabama,529,50.85,89.79,95.46,97.35,inbound
2020-10-27,Southern,Arkansas,259,66.02,92.28,94.98,95.37,inbound
2020-10-27,Southern,Dallas,2032,85.19,97.19,98.38,99.02,inbound
2020-10-27,Southern,Ft. Worth,716,73.74,89.25,91.2,92.46,inbound
2020-10-27,Southern,Gulf Atlantic,16084,84.8,97.86,98.76,99.14,inbound
2020-10-27,Southern,Houston,1637,74.95,91.02,92.06,93.4,inbound
2020-10-27,Southern,Louisiana,462,63.42,93.29,95.45,97.19,inbound
2020-10-27,Southern,Mississippi,648,83.95,98.15,98.46,99.07,inbound
2020-10-27,Southern,Oklahoma,353,60.34,87.82,91.78,98.3,inbound
2020-10-27,Southern,Rio Grande,3186,84.46,96.52,98.09,98.84,inbound
2020-10-27,Southern,South Florida,11024,94.5,98.81,99.12,99.34,inbound
2020-10-27,Southern,Suncoast,62477,97.13,99.2,99.49,99.63,inbound
2020-10-27,Western,Alaska,3543,81.23,93.73,94.98,95.17,inbound
2020-10-27,Western,Arizona,166638,98.35,99.74,99.8,99.86,inbound
2020-10-27,Western,Central Plains,8075,95.62,98.54,98.72,98.98,inbound
2020-10-27,Western,Colorado/Wyoming,28379,77.12,90.99,93.32,95.4,inbound
2020-10-27,Western,Dakotas,11656,92.66,99.26,99.5,99.71,inbound
2020-10-27,Western,Hawkeye,20590,97.7,99.04,99.18,99.25,inbound
2020-10-27,Western,Mid-Americas,9768,95.01,99.21,99.57,99.73,inbound
2020-10-27,Western,Nevada Sierra,30872,97.69,99.47,99.67,99.71,inbound
2020-10-27,Western,Northland,6702,95.48,99.19,99.42,99.63,inbound
2020-10-27,Western,Portland,102037,97.79,99.68,99.84,99.91,inbound
2020-10-27,Western,Salt Lake City,61571,88.99,99.69,99.8,99.92,inbound
2020-10-27,Western,Seattle,136547,98.09,99.65,99.74,99.77,inbound
2020-10-28,Metro,Atlanta,18127,94.97,96.49,98.98,99.24,inbound
2020-10-28,Metro,Baltimore,16862,94.19,94.8,96.75,99.42,inbound
2020-10-28,Metro,Capital,17375,96.44,96.99,99.03,99.36,inbound
2020-10-28,Metro,Greater S Carolina,13036,91.1,92.42,97.87,98.32,inbound
2020-10-28,Metro,Greensboro,22926,90.91,91.63,96.46,97.18,inbound
2020-10-28,Metro,Mid-Carolinas,15516,90.07,91.22,97.11,97.53,inbound
2020-10-28,Metro,Norther Virginia,16389,97.03,97.94,98.82,98.93,inbound
2020-10-28,Metro,Richmond,16093,96.9,97.66,99.03,99.23,inbound
2020-10-28,Eastern,Appalachian,1943,88.78,89.29,93.82,93.88,inbound
2020-10-28,Eastern,Central Pennsylvania,37819,83.25,83.76,98.9,99.44,inbound
2020-10-28,Eastern,Kentuckiana,492,59.96,64.84,83.74,84.96,inbound
2020-10-28,Eastern,Norther Ohio,46266,97.63,97.98,99.31,99.36,inbound
2020-10-28,Eastern,Ohio Valley,27916,97.97,98.34,99.55,99.79,inbound
2020-10-28,Eastern,Philadelphia Metropo,48472,96.7,97.04,98.9,99.37,inbound
2020-10-28,Eastern,South Jersey,26594,97.45,97.76,98.29,98.42,inbound
2020-10-28,Eastern,Tennessee,5605,94.08,96.25,99.18,99.41,inbound
2020-10-28,Eastern,Western New York,16349,98.53,99.25,99.68,99.72,inbound
2020-10-28,Eastern,Western Pennsylvania,41157,98.52,98.95,99.8,99.9,inbound
2020-10-28,Great Lakes,Central Illinois,31272,96.12,97.52,99.09,99.25,inbound
2020-10-28,Great Lakes,Chicago,20434,95.89,96.09,97.18,97.28,inbound
2020-10-28,Great Lakes,Detroit,6999,78.91,81.91,95.46,98.27,inbound
2020-10-28,Great Lakes,Gateway,11603,95.67,96.59,98.47,98.57,inbound
2020-10-28,Great Lakes,Greater Indiana,1554,86.16,91.12,96.98,98.33,inbound
2020-10-28,Great Lakes,Greater Michigan,7955,95.5,97.06,99.01,99.16,inbound
2020-10-28,Great Lakes,Lakeland,2162,92.83,94.54,96.48,96.76,inbound
2020-10-28,Northeast,Albany,22833,98.31,98.62,99.3,99.44,inbound
2020-10-28,Northeast,Caribbean,7612,99.5,99.57,99.75,99.79,inbound
2020-10-28,Northeast,Connecticut Valley,13825,98.12,98.37,99,99.09,inbound
2020-10-28,Northeast,Greater Boston,66087,97.73,98.26,99.53,99.62,inbound
2020-10-28,Northeast,Long Island,24045,99,99.15,99.45,99.48,inbound
2020-10-28,Northeast,New York,24947,97.35,98.16,99.04,99.27,inbound
2020-10-28,Northeast,Northern New England,955,82.41,87.64,96.44,96.96,inbound
2020-10-28,Northeast,Northern New Jersey,43225,97.28,97.39,97.98,98.05,inbound
2020-10-28,Northeast,Triboro,13782,88.14,88.42,88.62,88.67,inbound
2020-10-28,Northeast,Westchester,17295,97.89,98.14,98.61,98.65,inbound
2020-10-28,Pacific,Bay-Valley,83496,99.19,99.34,99.48,99.52,inbound
2020-10-28,Pacific,Honolulu,39244,98.96,99.23,99.71,99.8,inbound
2020-10-28,Pacific,Los Angeles,67520,98.87,99.14,99.37,99.4,inbound
2020-10-28,Pacific,Sacramento,70093,99.33,99.48,99.62,99.64,inbound
2020-10-28,Pacific,San Diego,134611,99.32,99.55,99.81,99.85,inbound
