Date,Area,District,First_class,Marketing_mail
2020-10-27,Capital Metro,Norther Virginia,53.79,96.58
2020-10-27,Capital Metro,Richmond,63.89,92.27
2020-10-27,Eastern,Appalachian,61.71,93.64
2020-10-27,Eastern,Central Pennsylvania,58.2,61.75
2020-10-27,Eastern,Kentuckiana,72.2,97.67
2020-10-27,Eastern,Norther Ohio,46.25,77.96
2020-10-27,Eastern,Ohio Valley,50.98,87.3
2020-10-27,Eastern,Philadelphia Metropo,23.19,71.29
2020-10-27,Eastern,South Jersey,42.01,88.61
2020-10-27,Eastern,Tennessee,61.72,92.63
2020-10-27,Eastern,Western New York,67.65,97.28
2020-10-27,Eastern,Western Pennsylvania,69.61,97.36
2020-10-27,Great Lakes,Central Illinois,63.88,89.92
2020-10-27,Great Lakes,Chicago,65.89,94.52
2020-10-27,Great Lakes,Detroit,42.94,76.59
2020-10-27,Great Lakes,Gateway,70.15,92.61
2020-10-27,Great Lakes,Greater Indiana,65.02,95.91
2020-10-27,Great Lakes,Greater Michigan,59.76,86.62
2020-10-27,Great Lakes,Lakeland,56.07,95.32
2020-10-27,Northeast,Albany,71.45,93.31
2020-10-27,Northeast,Caribbean,92.96,80.62
2020-10-27,Northeast,Connecticut Valley,72.97,94.01
2020-10-27,Northeast,Greater Boston,64.51,93.1
2020-10-27,Northeast,Long Island,73.77,96.09
2020-10-27,Northeast,New York,71.25,97.3
2020-10-27,Northeast,Northern New England,70.93,86.59
2020-10-27,Northeast,Northern New Jersey,66.36,93.77
2020-10-27,Northeast,Triboro,85.13,93.29
2020-10-27,Northeast,Westchester,70.1,93.39
2020-10-27,Pacific,Bay-Valley,75.49,97.23
2020-10-27,Pacific,Honolulu,83.04,88.85
2020-10-27,Pacific,Los Angeles,78.27,97
2020-10-27,Pacific,Sacramento,80.04,93.19
2020-10-27,Pacific,San Diego,75.36,96.42
2020-10-27,Pacific,San Francisco,73.13,98.38
2020-10-27,Pacific,Santa Ana,61.63,98.03
2020-10-27,Pacific,Sierra Coastal,74.98,97.57
2020-10-27,Southern,Alabama,57,89.48
2020-10-27,Southern,Arkansas,71.83,92.98
2020-10-27,Southern,Dallas,73.91,93.78
2020-10-27,Southern,Ft. Worth,73.05,93.15
2020-10-27,Southern,Gulf Atlantic,59.06,86.14
2020-10-27,Southern,Houston,78.52,95.49
2020-10-27,Southern,Louisiana,68.11,90.09
2020-10-27,Southern,Mississippi,52.96,87.55
2020-10-27,Southern,Oklahoma,79.26,96.7
2020-10-27,Southern,Rio Grande,78.02,95.34
2020-10-27,Southern,South Florida,55.35,89.75
2020-10-27,Southern,Suncoast,61.65,95.57
2020-10-27,Western,Alaska,66.61,90.87
2020-10-27,Western,Arizona,69.89,90.06
2020-10-27,Western,Central Plains,87.72,96.3
2020-10-27,Western,Colorado/Wyoming,38.53,86.47
2020-10-27,Western,Dakotas,66.78,94.67
2020-10-27,Western,Hawkeye,69.78,93.8
2020-10-27,Western,Mid-Americas,58.07,85.82
2020-10-27,Western,Nevada Sierra,76.61,96.5
2020-10-27,Western,Northland,58.87,90.96
2020-10-27,Western,Portland,74.19,87.83
2020-10-27,Western,Salt Lake City,64.12,96.49
2020-10-27,Western,Seattle,61.3,97.31
2020-10-28,Capital Metro,Atlanta,79.41,69.66
2020-10-28,Capital Metro,Baltimore,47.44,82.75
2020-10-28,Capital Metro,Capital,76.06,94.02
2020-10-28,Capital Metro,Greater S Carolina,71.12,87.04
2020-10-28,Capital Metro,Greensboro,57.99,48.09
2020-10-28,Capital Metro,Mid-Carolinas,52.5,66.46
2020-10-28,Capital Metro,Norther Virginia,74.09,95.05
2020-10-28,Capital Metro,Richmond,83.19,89.71
2020-10-28,Eastern,Appalachian,83.72,93.6
2020-10-28,Eastern,Central Pennsylvania,55.59,52.45
2020-10-28,Eastern,Kentuckiana,89.17,96.17
2020-10-28,Eastern,Norther Ohio,72.92,63.74
2020-10-28,Eastern,Ohio Valley,80.62,88.29
2020-10-28,Eastern,Philadelphia Metropo,47.86,62.26
2020-10-28,Eastern,South Jersey,75.69,93.02
2020-10-28,Eastern,Tennessee,86.59,88.76
2020-10-28,Eastern,Western New York,91.78,94.11
2020-10-28,Eastern,Western Pennsylvania,85.33,94.56
2020-10-28,Great Lakes,Central Illinois,72.12,88.7
2020-10-28,Great Lakes,Chicago,80.27,81.41
2020-10-28,Great Lakes,Detroit,55.37,73.78
2020-10-28,Great Lakes,Gateway,82.93,92.47
2020-10-28,Great Lakes,Greater Indiana,87.25,91.35
2020-10-28,Great Lakes,Greater Michigan,76.25,88.75
2020-10-28,Great Lakes,Lakeland,78.5,91.71
2020-10-28,Northeast,Albany,88.76,95.57
2020-10-28,Northeast,Caribbean,95.87,92.2
2020-10-28,Northeast,Connecticut Valley,85.87,93.84
2020-10-28,Northeast,Greater Boston,88.37,84.51
2020-10-28,Northeast,Long Island,83.01,92.75
2020-10-28,Northeast,New York,86.71,96.05
2020-10-28,Northeast,Northern New England,82.24,92.63
2020-10-28,Northeast,Northern New Jersey,81.35,91.47
2020-10-28,Northeast,Triboro,83.8,94.59
2020-10-28,Northeast,Westchester,84.89,94.14
2020-10-28,Pacific,Bay-Valley,89.93,96.25
2020-10-28,Pacific,Honolulu,89.41,91.05
2020-10-28,Pacific,Los Angeles,88.68,96.88
2020-10-28,Pacific,Sacramento,85.49,95.06
2020-10-28,Pacific,San Diego,89.43,98.16
2020-10-28,Pacific,San Francisco,85.57,98.42
2020-10-28,Pacific,Santa Ana,83.62,97.13
2020-10-28,Pacific,Sierra Coastal,88.45,96.99
2020-10-28,Southern,Alabama,88.67,84.45
2020-10-28,Southern,Arkansas,88.45,95.01
2020-10-28,Southern,Dallas,77.49,92.49
2020-10-28,Southern,Ft. Worth,84.33,92.85
2020-10-28,Southern,Gulf Atlantic,77.97,84.8
2020-10-28,Southern,Houston,77.31,95.14
2020-10-28,Southern,Louisiana,90.44,90.74
2020-10-28,Southern,Mississippi,79.76,85.61
2020-10-28,Southern,Oklahoma,92.49,97.04
2020-10-28,Southern,Rio Grande,86.51,94.99
2020-10-28,Southern,South Florida,67.01,91.97
2020-10-28,Southern,Suncoast,83.34,89.26
2020-10-28,Western,Alaska,79.51,90.42
2020-10-28,Western,Arizona,80.93,91.23
2020-10-28,Western,Central Plains,86.53,93.77
2020-10-28,Western,Colorado/Wyoming,59.91,78.04
2020-10-28,Western,Dakotas,86.51,95.24
2020-10-28,Western,Hawkeye,87.68,91.01
2020-10-28,Western,Mid-Americas,83.81,77.14
2020-10-28,Western,Nevada Sierra,86.11,97.04
2020-10-28,Western,Northland,81.57,87.57
2020-10-28,Western,Portland,85.78,91.22
2020-10-28,Western,Salt Lake City,80.87,97.38
2020-10-28,Western,Seattle,81.82,97.16
2020-10-29,Capital Metro,Atlanta,90.85,70.31
2020-10-29,Capital Metro,Baltimore,68.89,75
2020-10-29,Capital Metro,Capital,87.32,85.89
2020-10-29,Capital Metro,Greater S Carolina,83.14,89.97
2020-10-29,Capital Metro,Greensboro,80.94,47.68
2020-10-29,Capital Metro,Mid-Carolinas,87.18,70.25
2020-10-29,Capital Metro,Norther Virginia,88.7,92.96
2020-10-29,Capital Metro,Richmond,91.78,86.49
2020-10-29,Eastern,Appalachian,90.07,90.43
2020-10-29,Eastern,Central Pennsylvania,59.42,51.6
2020-10-29,Eastern,Kentuckiana,92.47,95.34
2020-10-29,Eastern,Norther Ohio,77.49,77.71
2020-10-29,Eastern,Ohio Valley,86.44,88.71
2020-10-29,Eastern,Philadelphia Metropo,47.45,52.45
2020-10-29,Eastern,South Jersey,86.44,93.24
2020-10-29,Eastern,Tennessee,94.5,88.73
2020-10-29,Eastern,Western New York,91.57,93.46
2020-10-29,Eastern,Western Pennsylvania,92.25,96.56
2020-10-29,Great Lakes,Central Illinois,85.24,86.45
2020-10-29,Great Lakes,Chicago,88.94,87.17
2020-10-29,Great Lakes,Detroit,76.32,70.87
2020-10-29,Great Lakes,Gateway,92.15,87.85
2020-10-29,Great Lakes,Greater Indiana,93.29,92.65
2020-10-29,Great Lakes,Greater Michigan,88.18,93.39
2020-10-29,Great Lakes,Lakeland,90.36,93.45
2020-10-29,Northeast,Albany,94.51,95.52
2020-10-29,Northeast,Caribbean,97.42,82.27
2020-10-29,Northeast,Connecticut Valley,93.3,93.06
2020-10-29,Northeast,Greater Boston,93.63,87.56
2020-10-29,Northeast,Long Island,87.56,94.64
2020-10-29,Northeast,New York,91.74,97.12
2020-10-29,Northeast,Northern New England,94.11,88.2
2020-10-29,Northeast,Northern New Jersey,93.8,93.91
2020-10-29,Northeast,Triboro,89.45,93.87
2020-10-29,Northeast,Westchester,93.23,92.97
2020-10-29,Pacific,Bay-Valley,94.03,96.45
2020-10-29,Pacific,Honolulu,93.6,96.31
2020-10-29,Pacific,Los Angeles,94.98,96.65
2020-10-29,Pacific,Sacramento,94.57,95.04
2020-10-29,Pacific,San Diego,94.57,96.63
2020-10-29,Pacific,San Francisco,93.49,98.36
2020-10-29,Pacific,Santa Ana,93.85,98.24
2020-10-29,Pacific,Sierra Coastal,94.84,97.4
2020-10-29,Southern,Alabama,91.09,75.85
2020-10-29,Southern,Arkansas,94.01,89.87
2020-10-29,Southern,Dallas,91.4,94.06
2020-10-29,Southern,Ft. Worth,92.2,90.45
2020-10-29,Southern,Gulf Atlantic,86.63,77.92
2020-10-29,Southern,Houston,86.56,95.54
2020-10-29,Southern,Louisiana,92.85,86.36
2020-10-29,Southern,Mississippi,92.56,83.85
2020-10-29,Southern,Oklahoma,91.33,96.01
2020-10-29,Southern,Rio Grande,93.64,95.42
2020-10-29,Southern,South Florida,87.85,91.82
