Date,Area,District,Inbound,Outbound,Outbound_non
2020-10-29,Capital Metro,Norther Virginia,95.12,19.33,82.52
2020-10-29,Capital Metro,Richmond,93.69,83.33,18.45
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-29,Eastern,Appalachian,89.5,79.17,69.77
2020-10-29,Eastern,Central Pennsylvani a,69.17,46.15,22.03
2020-10-29,Eastern,Kentuckiana,83.51,22.06,77.55
2020-10-29,Eastern,Norther Ohio,86.1,86.57,0.71
2020-10-29,Eastern,Ohio Valley,95.49,95.44,86.71
2020-10-29,Eastern,Philadelphia Metropo,90.92,99.19,0.03
2020-10-29,Eastern,South Jersey,95.44,99.71,0.12
2020-10-29,Eastern,Tennessee,96.43,23.7,62.38
2020-10-29,Eastern,Western New York,96.68,66.67,99.11
2020-10-29,Eastern,Western Pennsylvani a,97.25,99.41,96.77
2020-10-29,Great Lakes,Central Illinois,96.83,98.92,79.02
2020-10-29,Great Lakes,Chicago,95.26,80,85.81
2020-10-29,Great Lakes,Detroit,76.23,95.79,99.83
2020-10-29,Great Lakes,Gateway,93.2,60.45,61.9
2020-10-29,Great Lakes,Greater Indiana,83.22,75.41,83.92
2020-10-29,Great Lakes,Greater Michigan,89.15,97.64,27.43
2020-10-29,Great Lakes,Lakeland,93.71,90.16,94.13
2020-10-29,Northeast,Albany,96.89,78.57,84.02
2020-10-29,Northeast,Caribbean,99.78,NA,80
2020-10-29,Northeast,Connecticut Valley,95.49,42.55,64.03
2020-10-29,Northeast,Greater Boston,92.46,22.61,52.06
2020-10-29,Northeast,Long Island,96.99,95.65,60.18
2020-10-29,Northeast,New York,97.08,79.41,87.59
2020-10-29,Northeast,Northern New England,80.7,64.71,26.33
2020-10-29,Northeast,Northern New Jersey,97.54,86.3,49.37
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-29,Northeast,Triboro,92.35,92,96.05
2020-10-29,Northeast,Westchester,95.92,82.61,96.66
2020-10-29,Pacific,Bay-Valley,98.46,59.46,99.39
2020-10-29,Pacific,Honolulu,91.47,64.52,95.74
2020-10-29,Pacific,Los Angeles,98.35,54.35,61.72
2020-10-29,Pacific,Sacramento,98.56,97,93.14
2020-10-29,Pacific,San Diego,99.32,98.5,25.14
2020-10-29,Pacific,San Francisco,98.87,65.79,98.89
2020-10-29,Pacific,Santa Ana,98.58,99.22,53.52
2020-10-29,Pacific,Sierra Coastal,98.56,35,90.66
